Topic	Pergunta	hipotese_1	hipotese_2	hipotese_3	hipotese_4	respostaCerta		id	pergunta	respostaLLM0		id	pergunta	respostaLLM1
ARQUITETURA	Qual é o nome da cidade antiga mesopotâmica conhecida por suas muralhas maciças, sistema de comportas e jardins suspensos?	Ur	Assur	Babilónia	Nínive	1	FALSE	84	Babilónia	4	TRUE	84	Qual é o nome da cidade antiga mesopotâmica conhecida por suas muralhas maciças, sistema de comportas e jardins suspensos?	4
ARQUITETURA	Qual é o nome do famoso mosteiro português construído no estilo manuelino, situado em Belém, Lisboa?	Mosteiro de São Vicente de Fora	Mosteiro de Santa Cruz	Mosteiro dos Jerónimos	Mosteiro de Alcobaça	3	FALSE	85	Mosteiro dos Jerónimos	3	TRUE	85	Qual é o nome do famoso mosteiro português construído no estilo manuelino, situado em Belém, Lisboa?	4
ARQUITETURA	O estilo arquitetónico manuelino é conhecido por suas decorações elaboradas inspiradas em quê?	Arte abstrata	Símbolos marítimos	Arte renascentista	Arte bizantina	2	FALSE	86	Arte renascentista	3	TRUE	86	O estilo arquitetónico manuelino é conhecido por suas decorações elaboradas inspiradas em quê?	4
ARQUITETURA	Qual é o nome do famoso aqueduto construído no século XVIII, para abastecer de água a capital portuguesa, conhecido pelos seus arcos em pedra de grande porte?	Aqueduto da Amoreira	Aqueduto das Águas Livres	Aqueduto de Segóvia	Aqueduto de Valente	2	FALSE	87	Aqueduto das Águas Livres	3	TRUE	87	Qual é o nome do famoso aqueduto construído no século XVIII, para abastecer de água a capital portuguesa, conhecido pelos seus arcos em pedra de grande porte?	4
ARQUITETURA	Onde ficava a mais célebre biblioteca e um dos maiores centros de produção do conhecimento na Antiguidade que, durante o reinado de Cleópatra, se calcula reunisse cerca de 1 milhão de pergaminhos?	Roma	Constantinopla	Alexandria	Cairo	3	FALSE	88	Alexandria	3	FALSE	88	Onde ficava a mais célebre biblioteca e um dos maiores centros de produção do conoccimento na Antiguidade que, durante o reinado de Cleópatra, se calcula reunisse cerca de 1 milhão de pergaminhos?	4
ARQUITETURA	Que tipo de colunas da arquitetura clássica grega são caracterizadas por não possuírem base e o capitel ter formato de prato?	dóricas	cónicas	jónicas	coríntias	1	FALSE	89	Jónicas	3	TRUE	89	Que tipo de colunas da arquitetura clássica grega são caracterizadas por não possuírem base e o capitel ter formato de prato?	4
ARQUITETURA	Que tipo de colunas da arquitetura clássica grega são caracterizadas por a sua base se parecer com uma pilha de anéis e o capitel se parecer com um pergaminho gigante?	dóricas	cónicas	jónicas	coríntias	3	TRUE	90	Que tipo de colunas da arquitetura clássica grega são caracterizadas por a sua base se parecer com uma pilha de anéis e o capitel se parecer com um pergaminho gigante?	3	TRUE	90	Que tipo de colunas da arquitetura clássica grega são caracterizadas por a sua base se parecer com uma pilha de anéis e o capitel se parecer com um pergaminho gigante?	1
ARQUITETURA	Que tipo de colunas da arquitetura clássica grega são caracterizadas por um capitel muito elaborado com a forma básica de um sino invertido, adornado por formas vegetais (folhas e rebentos)?	dóricas	cónicas	jónicas	coríntias	4	FALSE	91	Que tipo de colunas da arquitetura clássica grega são caracterizadas por um capitel muy elaborado com a forma básica de um sino invertido, adornado por formas vegetais (folhas e rebentos)?	4	FALSE	91	Que tipo de colunas da arquitetura clássica grega são caracterizadas por um capitel muy elaborado com a forma básica de um sino invertido, adornado por formas vegetais (folhas e rebentos)?	2
ARQUITETURA	Em que ilha do mediterrâneo existia uma estátua em pedra de grandes dimensões (de altura aproximada da Estátua da Liberdade), considerada uma das sete maravilhas do mundo antigo?	Creta	Rodes	Malta	Corfu	2	FALSE	92	Em que ilha do mediterrâneo existia uma estátua em pedra de grandes dimensões (de altura approximada da Estátua da Liberdade), considerada uma das sete maravilhas do mundo antigo?	2	FALSE	92	Em que ilha do mediterrâneo existia uma estátua em pedra de grandes dimensões (de altura approximada da Estátua da Liberdade), considerada uma das sete maravilhas do mundo antigo?	3
ARQUITETURA	Qual é o nome do monumento megalítico em Portugal, conhecido por suas pedras em pé?	Mosteiro de Alcobaça	Templo de Diana	Cromeleque dos Almendres	Stonehenge	3	TRUE	93	Qual é o nome do monumento megalítico em Portugal, conhecido por suas pedras em pé?	3	TRUE	93	Qual é o nome do monumento megalítico em Portugal, conhecido por suas pedras em pé?	4
ARQUITETURA	Qual é o nome do famoso convento português em Tomar, construído no estilo manuelino, que é Património Mundial da UNESCO?	Mosteiro de Santa Cruz	Mosteiro de São Vicente de Fora	Convento de Cristo	Mosteiro dos Jerónimos	3	FALSE	94	Qual é o nome do famoso convento português em Tomar, construído no estilo manuelino, que é Patrimônio Mundial da UNESCO?	4	FALSE	94	Qual é o nome do famoso convento português em Tomar, construído no estilo manuelino, que é Patrimônio Mundial da UNESCO?	3
ARQUITETURA	Qual é o nome do famoso palácio renascentista italiano que abriga a Galeria Uffizi em Florença?	Palazzo Farnese	Palazzo Medici-Riccardi	Palazzo Pitti	Palazzo Vecchio	3	TRUE	95	Qual é o nome do famoso palácio renascentista italiano que abriga a Galeria Uffizi em Florença?	2	TRUE	95	Qual é o nome do famoso palácio renascentista italiano que abriga a Galeria Uffizi em Florença?	2
ARQUITETURA	Quem é o arquiteto renascentista italiano conhecido por projetar a Capela Sistina no Vaticano?	Leonardo da Vinci	Rafael Sanzio	Donato Bramante	Michelangelo Buonarroti	4	TRUE	96	Quem é o arquiteto renascentista italiano conhecido por projetar a Capela Sistina no Vaticano?	4	TRUE	96	Quem é o arquiteto renascentista italiano conhecido por projetar a Capela Sistina no Vaticano?	4
ARQUITETURA	Qual é o nome da famosa fonte renascentista em Roma, projetada por Nicola Salvi, que é uma das maiores atrações da cidade?	Fonte dos Quatro Rios	Fontana dell'Acqua Paola	Fontana di Trevi	Fontana Maggiore	3	TRUE	97	Qual é o nome da famosa fonte renascentista em Roma, projetada por Nicola Salvi, que é uma das maiores atrações da cidade?	3	TRUE	97	Qual é o nome da famosa fonte renascentista em Roma, projetada por Nicola Salvi, que é uma das maiores atrações da cidade?	3
ARQUITETURA	Qual é o nome do estilo arquitetónico medieval conhecido pelas suas paredes espessas, arcos semicirculares e uso de arcos-baixos?	Renascimento	Barroco	Românico	Gótico	3	TRUE	98	Qual é o nome do estilo arquitetónico medieval conhecido pelas suas paredes espessas, arcos semicirculares e uso de arcos-baixos?	4	TRUE	98	Qual é o nome do estilo arquitetónico medieval conhecido pelas suas paredes espessas, arcos semicirculares e uso de arcos-baixos?	4
ARQUITETURA	O estilo Rococó é conhecido por características extravagantes como formas orgânicas (conchas, folhas, etc), linhas curvas e ornamentos elaborados. Em que período histórico se desenvolveu?	Século XX	Idade Média	Século XVIII	Antiguidade Clássica	3	TRUE	99	O estilo Rococó é conhecido por características extravagantes como formas orgânicas (conchas, folhas, etc), linhas curvas e ornamentos elaborados. Em que período histórico se desenvolveu?	3	TRUE	99	O estilo Rococó é conhecido por características extravagantes como formas orgânicas (conchas, folhas, etc), linhas curvas e ornamentos elaborados. Em que período histórico se desenvolveu?	3
ARQUITETURA	O estilo arquitetónico românico está frequentemente associado a quais tipos de edifícios religiosos?	Catedrais e castelos	Sinagogas e mesquitas	Teatros e anfiteatros	Bibliotecas e museus	1	TRUE	100	O estilo arquitetónico românico está frequentemente associado a quais tipos de edifícios religiosos?	1	TRUE	100	O estilo arquitetónico românico está frequentemente associado a quais tipos de edifícios religiosos?	1
ARQUITETURA	Qual é o nome do estilo arquitetónico que se inspirou na arquitetura da Grécia e Roma antigas e se tornou popular durante o Renascimento?	Gótico	Barroco	Neoclássico	Rococó	3	TRUE	101	Qual é o nome do estilo arquitetónico que se inspirou na arquitetura da Grécia e Roma antigas e se tornou popular durante o Renascimento?	3	TRUE	101	Qual é o nome do estilo arquitetónico que se inspirou na arquitetura da Grécia e Roma antigas e se tornou popular durante o Renascimento?	3
ARTES & DESIGN	Quem pintou a "Mona Lisa," uma das obras de arte mais famosas do mundo?	Pablo Picasso	Leonardo da Vinci	Vincent van Gogh	Michelangelo Buonarroti	2	FALSE	102	Quem paintou a "Mona Lisa," uma das obras de arte mais famosas do mundo?	2	FALSE	102	Quem paintou a "Mona Lisa," uma das obras de arte mais famosas do mundo?	2
ARTES & DESIGN	Qual é o nome do famoso pintor espanhol conhecido por seus quadros cubistas, como "Guernica"?	Salvador Dalí	Diego Rivera	Pablo Picasso	Joan Miró	3	TRUE	103	Qual é o nome do famoso pintor espanhol conhecido por seus quadros cubistas, como "Guernica"?	3	TRUE	103	Qual é o nome do famoso pintor espanhol conhecido por seus quadros cubistas, como "Guernica"?	3
ARTES & DESIGN	Qual é o nome do famoso escultor italiano que criou a estátua de "David" e a pintura do teto da Capela Sistina?	Caravaggio	Leonardo da Vinci	Michelangelo Buonarroti	Rafael Sanzio	3	TRUE	104	Qual é o nome do famoso escultor italiano que criou a estátua de "David" e a pintura do teto da Capela Sistina?	4	TRUE	104	Qual é o nome do famoso escultor italiano que criou a estátua de "David" e a pintura do teto da Capela Sistina?	4
ARTES & DESIGN	Quem é o fundador do movimento artístico surrealista e pintou a obra "A Persistência da Memória"?	Salvador Dalí	Joan Miró	René Magritte	Pablo Picasso	1	FALSE	105	Quem é o fundador do movimento artístico surrealista e paintou a obra "A Persistência da Memória"?	2	FALSE	105	Quem é o fundador do movimento artístico surrealista e paintou a obra "A Persistência da Memória"?	2
ARTES & DESIGN	A obra de arte do pintor russo Wassily Kandinsky é fundamentalmente conhecida pela utilização de que elementos?	Representações oníricas	Formas geométricas e cores vibrantes	Naturezas mortas	Cenas campestres	2	TRUE	106	A obra de arte do pintor russo Wassily Kandinsky é fundamentalmente conhecida pela utilização de que elementos?	3	TRUE	106	A obra de arte do pintor russo Wassily Kandinsky é fundamentalmente conhecida pela utilização de que elementos?	3
ARTES & DESIGN	Quem é a famosa pintora mexicana conhecida por suas obras que retratam a cultura mexicana e a luta das mulheres?	Frida Kahlo	Georgia O'Keeffe	Tamara de Lempicka	Louise Bourgeois	1	TRUE	107	Quem é a famosa pintora mexicana conhecida por suas obras que retratam a cultura mexicana e a luta das mulheres?	4	TRUE	107	Quem é a famosa pintora mexicana conhecida por suas obras que retratam a cultura mexicana e a luta das mulheres?	4
ARTES & DESIGN	Qual é o nome do famoso pintor holandês conhecido pelos seus quadros impressionistas com paisagens campestres?	Claude Monet	Vincent van Gogh	Piet Mondrian	Édouard Manet	2	TRUE	108	Qual é o nome do famoso pintor holandês conhecido pelos seus quadros impressionistas com paisagens campestres?	1	TRUE	108	Qual é o nome do famoso pintor holandês conhecido pelos seus quadros impressionistas com paisagens campestres?	1
ARTES & DESIGN	Qual é o nome do movimento artístico que enfatiza a representação realista de cenas do cotidiano e da classe trabalhadora?	Renascimento	Realismo	Impressionismo	Fauvismo	2	TRUE	109	Qual é o nome do movimento artístico que enfatiza a representação realista de cenas do cotidiano e da classe trabalhadora?	2	TRUE	109	Qual é o nome do movimento artístico que enfatiza a representação realista de cenas do cotidiano e da classe trabalhadora?	2
ARTES & DESIGN	Qual é o nome do famoso pintor espanhol que é um dos pioneiros do cubismo e pintou "Les Demoiselles d'Avignon"?	Salvador Dalí	Diego Rivera	Pablo Picasso	Joan Miró	3	TRUE	110	Qual é o nome do famoso pintor espanhol que é um dos pioneiros do cubismo e pintou "Les Demoiselles d'Avignon"?	1	TRUE	110	Qual é o nome do famoso pintor espanhol que é um dos pioneiros do cubismo e pintou "Les Demoiselles d'Avignon"?	1
ARTES & DESIGN	Qual é o nome da técnica de arte japonesa que envolve a criação de imagens usando papel recortado?	Origami	Sumi-e	Kintsugi	Kirigami	4	TRUE	111	Qual é o nome da técnica de arte japonesa que envolve a criação de imagens usando papel recortado?	2	TRUE	111	Qual é o nome da técnica de arte japonesa que envolve a criação de imagens usando papel recortado?	2
ARTES & DESIGN	Quem é o artista italiano famoso por suas pinturas renascentistas, como "A Última Ceia" e "A Mona Lisa"?	Leonardo da Vinci	Michelangelo Buonarroti	Rafael Sanzio	Donatello	1	TRUE	112	Quem é o artista italiano famoso por suas pinturas renascentistas, como "A Última Ceia" e "A Mona Lisa"?	3	TRUE	112	Quem é o artista italiano famoso por suas pinturas renascentistas, como "A Última Ceia" e "A Mona Lisa"?	3
ARTES & DESIGN	Qual é o nome do famoso pintor americano conhecido por suas latas de sopa e retratos de celebridades, muitas vezes associado à pop art?	Roy Lichtenstein	Andy Warhol	Keith Haring	Jackson Pollock	2	TRUE	113	Qual é o nome do famoso pintor americano conhecido por suas latas de sopa e retratos de celebridades, muitas vezes associado à pop art?	4	TRUE	113	Qual é o nome do famoso pintor americano conhecido por suas latas de sopa e retratos de celebridades, muitas vezes associado à pop art?	4
ARTES & DESIGN	Quem é o famoso pintor renascentista italiano que pintou "O Nascimento de Vénus" e "A Primavera"?	Caravaggio	Leonardo da Vinci	Michelangelo Buonarroti	Sandro Botticelli	4	FALSE	114	Quem é o famoso pintor renascentista italiano que paintou "O Nascimento de Vénus" e "A Primeiravera"?	3	FALSE	114	Quem é o famoso pintor renascentista italiano que paintou "O Nascimento de Vénus" e "A Primeiravera"?	3
ARTES & DESIGN	Quem escreveu a obra "Dom Quixote"?	Fernando Pessoa	Machado de Assis	Miguel de Cervantes	William Shakespeare	3	TRUE	115	Quem escreveu a obra "Dom Quixote"?	4	TRUE	115	Quem escreveu a obra "Dom Quixote"?	4
ARTES & DESIGN	Quem é o autor da obra "Cem Anos de Solidão"?	Gabriel García Márquez	Pablo Neruda	Julio Cortázar	Isabel Allende	1	TRUE	116	Quem é o autor da obra "Cem Anos de Solidão"?	3	TRUE	116	Quem é o autor da obra "Cem Anos de Solidão"?	3
ARTES & DESIGN	Qual é o nome da corrente artística que inclui obras de Salvador Dalí e René Magritte e se caracteriza por enfatizar o papel do inconsciente na atividade criativa, integrando elementos oníricos e ilógicos?	Expressionismo	Futurismo	Surrealismo	Cubismo	3	TRUE	117	Qual é o nome da corrente artística que inclui obras de Salvador Dalí e René Magritte e se caracteriza por enfatizar o papel do inconsciente na atividade criativa, integrando elementos oníricos e ilógicos?	3	TRUE	117	Qual é o nome da corrente artística que inclui obras de Salvador Dalí e René Magritte e se caracteriza por enfatizar o papel do inconsciente na atividade criativa, integrando elementos oníricos e ilógicos?	3
ARTES & DESIGN	Quem é o autor da peça de teatro "Romeu e Julieta"?	Anton Chekhov	Tennessee Williams	Arthur Miller	William Shakespeare	4	TRUE	118	Quem é o autor da peça de teatro "Romeu e Julieta"?	4	TRUE	118	Quem é o autor da peça de teatro "Romeu e Julieta"?	4
ARTES & DESIGN	Qual autor é conhecido por escrever a série de livros "Harry Potter"?	J.R.R. Tolkien	J.K. Rowling	George Orwell	Jane Austen	2	TRUE	119	Qual autor é conhecido por escrever a série de livros "Harry Potter"?	3	TRUE	119	Qual autor é conhecido por escrever a série de livros "Harry Potter"?	3
ARTES & DESIGN	Quem é o diretor do filme "E o Vento Levou," um clássico do cinema?	Alfred Hitchcock	Steven Spielberg	Victor Fleming	Quentin Tarantino	3	TRUE	120	Quem é o diretor do filme "E o Vento Levou," um clássico do cinema?	3	TRUE	120	Quem é o diretor do filme "E o Vento Levou," um clássico do cinema?	3
ARTES & DESIGN	Qual é o nome da famosa ópera de Giuseppe Verdi que conta a história de uma escrava etíope?	Aida	Carmen	La Traviata	O Barbeiro de Sevilha	1	TRUE	121	Qual é o nome da famosa ópera de Giuseppe Verdi que conta a história de uma escrava etíope?	3	TRUE	121	Qual é o nome da famosa ópera de Giuseppe Verdi que conta a história de uma escrava etíope?	3
ARTES & DESIGN	Quem é o autor da obra "1984", a famosa distopia futurista que descreve o engano oficial, a vigilância secreta e a manipulação da história registrada por um Estado totalitário?	George Orwell	Aldous Huxley	Ray Bradbury	Fyodor Dostoevsky	1	TRUE	122	Quem é o autor da obra "1984", a famosa distopia futurista que descreve o engano oficial, a vigilância secreta e a manipulação da história registrada por um Estado totalitário?	2	TRUE	122	Quem é o autor da obra "1984", a famosa distopia futurista que descreve o engano oficial, a vigilância secreta e a manipulação da história registrada por um Estado totalitário?	2
ARTES & DESIGN	Qual é o nome do famoso diretor de cinema conhecido por filmes como "Pulp Fiction" e "Kill Bill"?	Steven Spielberg	Quentin Tarantino	Martin Scorsese	Francis Ford Coppola	2	TRUE	123	Qual é o nome do famoso diretor de cinema conhecido por filmes como "Pulp Fiction" e "Kill Bill"?	3	TRUE	123	Qual é o nome do famoso diretor de cinema conhecido por filmes como "Pulp Fiction" e "Kill Bill"?	3
ARTES & DESIGN	Qual é o nome da técnica de pintura que usa pequenos pontos de cor para criar uma imagem quando vistos de longe?	Impressionismo	Pontilhismo	Cubismo	Surrealismo	2	FALSE	124	Qual é o nome da técnica de pintura que usa pequenos pontos de cor para criar uma imagem cuando vistos de longe?	3	TRUE	124	Qual é o nome da técnica de pintura que usa pequenos Pontos de cor para criar uma imagem quando vistos de longe?	3
ARTES & DESIGN	Quem é o diretor do filme "Cidadão Kane," frequentemente considerado um dos maiores filmes de todos os tempos?	Alfred Hitchcock	Orson Welles	Stanley Kubrick	Martin Scorsese	2	FALSE	125	Quem é o diretor do filme "Cidadão Kane," frequentemente considerado um dos melhores filmes de todos os tempos?	2	FALSE	125	Quem é o diretor do filme "Cidadão Kane," frequentemente considerado um dos melhores filmes de todos os tempos?	2
ARTES & DESIGN	Qual é o nome da famosa banda de rock britânica conhecida por álbuns como "The Dark Side of the Moon" e "The Wall"?	Led Zeppelin	The Rolling Stones	Pink Floyd	The Who	3	TRUE	126	Qual é o nome da famosa banda de rock britânica conhecida por álbuns como "The Dark Side of the Moon" e "The Wall"?	3	TRUE	126	Qual é o nome da famosa banda de rock britânica conhecida por álbuns como "The Dark Side of the Moon" e "The Wall"?	3
ARTES & DESIGN	Quem é o autor da série de romances "O Senhor dos Anéis"?	C.S. Lewis	George R.R. Martin	J.K. Rowling	J.R.R. Tolkien	4	TRUE	127	Quem é o autor da série de romances "O Senhor dos Anéis"?	4	TRUE	127	Quem é o autor da série de romances "O Senhor dos Anéis"?	4
ARTES & DESIGN	Qual é o nome do diretor de cinema responsável pela trilogia "O Padrinho"?	Francis Ford Coppola	Quentin Tarantino	Steven Spielberg	Martin Scorsese	1	TRUE	128	Qual é o nome do diretor de cinema responsável pela trilogia "O Padrinho"?	2	TRUE	128	Qual é o nome do diretor de cinema responsável pela trilogia "O Padrinho"?	2
ARTES & DESIGN	Qual é o nome da famosa cantora britânica conhecida por músicas como "Rolling in the Deep" e "Hello"?	Alicia Keys	Adele	Beyoncé	Rihanna	2	TRUE	129	Qual é o nome da famosa cantora britânica conhecida por músicas como "Rolling in the Deep" e "Hello"?	3	TRUE	129	Qual é o nome da famosa cantora britânica conhecida por músicas como "Rolling in the Deep" e "Hello"?	3
ARTES & DESIGN	Qual é o nome da técnica fotográfica que cria uma profundidade de campo muito rasa e desfoca o fundo, destacando o objeto em foco?	Fotografia panorâmica	Fotografia em HDR	Bokeh	Fotografia macro	3	FALSE	130	Bokeh	4	FALSE	130	Qual é o nome da técnica fotográfica que cria uma profundidade de campo muy rasa e desfoca o fundo, destacando o objeto em foco?	4
ARTES & DESIGN	Quem é o autor do romance "Dom Quixote," uma das obras literárias mais importantes da história?	William Shakespeare	Miguel de Cervantes	Johann Wolfgang von Goethe	Jane Austen	2	FALSE	131	Miguel de Cervantes	3	TRUE	131	Quem é o autor do romance "Dom Quixote," uma das obras literárias mais importantes da história?	3
ARTES & DESIGN	Qual é o nome do diretor de cinema conhecido por filmes como "E.T. - O Extraterrestre" e "Jurassic Park"?	George Lucas	Steven Spielberg	Tim Burton	Christopher Nolan	2	FALSE	132	Steven Spielberg	2	TRUE	132	Qual é o nome do diretor de cinema conhecido por filmes como "E.T. - O Extraterrestre" e "Jurassic Park"?	2
ARTES & DESIGN	Qual é o nome do diretor de cinema conhecido por filmes como "Psicose" e "Os Pássaros"?	Alfred Hitchcock	Martin Scorsese	Quentin Tarantino	Tim Burton	1	FALSE	133	Alfred Hitchcock	1	TRUE	133	Qual é o nome do diretor de cinema conhecido por filmes como "Psicose" e "Os Pássaros"?	1
ARTES & DESIGN	Qual é o nome da famosa cantora e atriz conhecida por filmes como "O Mágico de Oz" e "E o Vento Levou"?	Audrey Hepburn	Marilyn Monroe	Judy Garland	Grace Kelly	3	FALSE	134	Judy Garland	3	TRUE	134	Qual é o nome da famosa cantora e atriz conhecida por filmes como "O Mágico de Oz" e "E o Vento Levou"?	3
ARTES & DESIGN	Quem é o autor da série de romances de espionagem "James Bond," também conhecida como 007?	Robert Ludlum	John le Carré	Tom Clancy	Ian Fleming	4	FALSE	135	Ian Fleming	4	TRUE	135	Quem é o autor da série de romances de espionagem "James Bond," também conhecida como 007?	4
CIÊNCIAS DA SAÚDE	O estudo da estrutura do corpo humano chama-se?	Ortopedia	Fisiologia	Anatomia	Filologia	3	FALSE	136	Anatomia	3	TRUE	136	O estudo da estrutura do corpo humano chama-se?	3
CIÊNCIAS DA SAÚDE	O estudo do funcionamento dos órgãos internos é designado de?	Endocrinologia	Ortopedia	Estomatologia	Fisiologia	4	FALSE	137	Fisiologia	2	TRUE	137	O estudo do funcionamento dos órgãos internos é designado de?	2
CIÊNCIAS DA SAÚDE	O que é a homeostase?	Um termo médico para estado de saúde perfeito	Um tipo de tratamento médico	O processo de manutenção do equilíbrio interno do corpo	Um tipo de exame de imagem	3	FALSE	138	O processo de manutenção do equilíbrio interno do corpo	4	TRUE	138	O que é a homeostase?	3
CIÊNCIAS DA SAÚDE	Qual é o nome do processo pelo qual o corpo transforma  os alimentos em substâncias utilizáveis pelo organismo?	Digestão	Circulação	Excreção	Respiração	1	FALSE	139	Digestão	4	FALSE	139	Qual é o nome do processo pelo qual o corpo transforma os alimentos em substâncias utilizáveis pelo organismo?	1
CIÊNCIAS DA SAÚDE	O que é a pressão arterial?	A força exercida pelo ar sobre o corpo humano	A pressão interna nos pulmões	A pressão do sangue nas artérias	A pressão das artérias sobre os ossos	3	TRUE	140	O que é a pressão arterial?	4	TRUE	140	O que é a pressão arterial?	4
CIÊNCIAS DA SAÚDE	O que é a diabetes?	Um distúrbio metabólico caracterizado por níveis elevados de açúcar no sangue	Uma condição médica que afeta os pulmões	Uma doença infecciosa	Um distúrbio do sistema nervoso	1	TRUE	141	O que é a diabetes?	1	TRUE	141	O que é a diabetes?	1
CIÊNCIAS DA SAÚDE	O que é a radioterapia?	Um tipo de cirurgia usando ondas de rádio	Um exame de imagem médica	Um tratamento médico que utiliza radiação para destruir células cancerosas	Um tipo de terapia física	3	TRUE	142	O que é a radioterapia?	4	TRUE	142	O que é a radioterapia?	3
CIÊNCIAS DA SAÚDE	O que é a quimioterapia?	Um tipo de cirurgia de base química	Um tratamento médico que utiliza produtos químicos para matar células cancerosas	Um exame de imagem médica de tumores cancerígenos	Designação genérica para qualquer tratamento baseado em produtos químicos	2	TRUE	143	O que é a quimioterapia?	2	TRUE	143	O que é a quimioterapia?	2
CIÊNCIAS DA SAÚDE	Qual é o sistema do corpo responsável pela produção de hormonas?	Sistema endócrino	Sistema digestivo	Sistema circulatório	Sistema nervoso	1	TRUE	144	Qual é o sistema do corpo responsável pela produção de hormonas?	1	TRUE	144	Qual é o sistema do corpo responsável pela produção de hormonas?	1
CIÊNCIAS DA SAÚDE	Qual é o sistema do corpo responsável pela locomoção e apoio do corpo humano?	Sistema cardiovascular	Sistema muscular e esquelético	Sistema digestivo	Sistema nervoso	2	TRUE	145	Qual é o sistema do corpo responsável pela locomoção e apoio do corpo humano?	2	TRUE	145	Qual é o sistema do corpo responsável pela locomoção e apoio do corpo humano?	2
CIÊNCIAS DA SAÚDE	Qual é o  órgão responsável por produzir insulina no corpo humano?	Fígado	Apêndice	Pâncreas	Vesícula biliar	3	FALSE	146	Qual é o órgão responsável por produzir insulina no corpo humano?	3	FALSE	146	Qual é o órgão responsável por produzir insulina no corpo humano?	3
CIÊNCIAS DA SAÚDE	Qual é o nome da principal substância química de transmissão de sinais entre células nervosas no cérebro?	Serotonina	Insulina	Testosterona	Adrenalina	1	TRUE	147	Qual é o nome da principal substância química de transmissão de sinais entre células nervosas no cérebro?	2	TRUE	147	Qual é o nome da principal substância química de transmissão de sinais entre células nervosas no cérebro?	1
CIÊNCIAS DA SAÚDE	A obstetrícia é um campo da medicina que se concentra em quê?	Obstipação	Gravidez e parto	Obesidade	Obstruções nos vasos sanguíneos	2	TRUE	148	A obstetrícia é um campo da medicina que se concentra em quê?	2	TRUE	148	A obstetrícia é um campo da medicina que se concentra em quê?	2
CIÊNCIAS DA SAÚDE	Qual é o sistema do corpo responsável pela produção de células sanguíneas?	Sistema respiratório	Sistema circulatório	Sistema urinário	Sistema linfático	4	TRUE	149	Qual é o sistema do corpo responsável pela produção de células sanguíneas?	4	TRUE	149	Qual é o sistema do corpo responsável pela produção de células sanguíneas?	2
CIÊNCIAS DA SAÚDE	O que é uma radiografia?	Uma fotografia do sistema nervoso	Um exame que utiliza radiação para produzir imagens internas do corpo	Um exame radiológico de sangue	Um exame que mede a densidade óssea	2	TRUE	150	O que é uma radiografia?	2	TRUE	150	O que é uma radiografia?	2
CIÊNCIAS DA SAÚDE	O que é a hipertensão arterial?	Pressão arterial baixa	Pressão arterial no hiperespaço	Pressão arterial elevada	Pressão arterial irregular	3	TRUE	151	O que é a hipertensão arterial?	3	TRUE	151	O que é a hipertensão arterial?	3
CIÊNCIAS DA SAÚDE	O que é um ecocardiograma?	Um exame de imagem que utiliza ondas sonoras para criar imagens do coração	Um exame para medir a pressão arterial	Um exame realizado com recurso a um esfigmomanómetro	Um exame que mede a densidade óssea	1	TRUE	152	O que é um ecocardiograma?	1	TRUE	152	O que é um ecocardiograma?	1
CIÊNCIAS DA SAÚDE	Como se chama o exame de diagnóstico em que se usa um equipamento especial de raios X para obter um volume de dados do corpo que são depois processados por um computador para obter imagens dos órgãos internos?	Radiografia	Tomografia axial computorizada	Ressonância magnética	Ecografia	2	TRUE	153	Como se chama o exame de diagnóstico em que se usa um equipamento especial de raios X para obter um volume de dados do corpo que são depois processados por um computador para obter imagens dos órgãos internos?	2	TRUE	153	Como se chama o exame de diagnóstico em que se usa um equipamento especial de raios X para obter um volume de dados do corpo que são depois processados por um computador para obter imagens dos órgãos internos?	2
CIÊNCIAS DA SAÚDE	Como se chama o exame de diagnóstico em que se usa um campo magnético para obter um volume de dados do corpo que são depois processados por um computador para sintetizar computacionalmente imagens de grande definição das estruturas internas dos órgãos?	Cintigrafia	Tomografia axial computorizada	Ressonância magnética	Ecografia	3	TRUE	154	Como se chama o exame de diagnóstico em que se usa um campo magnético para obter um volume de dados do corpo que são depois processados por um computador para sintetizar computacionalmente imagens de grande definição das estruturas internas dos órgãos?	2	TRUE	154	Como se chama o exame de diagnóstico em que se usa um campo magnético para obter um volume de dados do corpo que são depois processados por um computador para sintetizar computacionalmente imagens de grande definição das estruturas internas dos órgãos?	2
CIÊNCIAS DA SAÚDE	Como se chama o exame de diagnóstico da especialidade médica da Medicina Nuclear, em que se administra por via endovenosa uma pequena dose de uma substância radioativa que vai fixar-se a um órgão ou alvo específico, permitindo o seu estudo por imagens no equipamento designado por câmara-gama?	Cintigrafia	Tomografia axial computorizada	Ressonância magnética	Ecografia	1	TRUE	155	Como se chama o exame de diagnóstico da especialidade médica da Medicina Nuclear, em que se administra por via endovenosa uma pequena dose de uma substância radioativa que vai fixar-se a um órgão ou alvo específico, permitindo o seu estudo por imagens no equipamento designado por câmara-gama?	1	TRUE	155	Como se chama o exame de diagnóstico da especialidade médica da Medicina Nuclear, em que se administra por via endovenosa uma pequena dose de uma substância radioativa que vai fixar-se a um órgão ou alvo específico, permitindo o seu estudo por imagens no equipamento designado por câmara-gama?	1
