 	PERGUNTA	Link Imagem	VALIDADO	RESPOSTA CORRETA	Tipo de Pergunta	KEY	Estado	DATA	ACONTECIMENTO	ÂMBITO	COMENTÁRIO
149	Quando se passou à assinatura eletrónica de pautas?		TRUE	2017	Cronologia	2017020100	Ok	2017-02-01	Assinatura eletrónica de pautas	Iscte	
150	Desde quando está automatizada a inscrição no 1º ciclo (licenciatura)?		TRUE	2007	Cronologia	2007090100	Ok	2007-09-01	Automatização plena das inscrições do 1º ciclo	Iscte	
151	Desde quando está automatizada a inscrição no 2º ciclo (mestrado)?		TRUE	2011	Cronologia	2011030100	Ok	2011-03-01	Automatização plena das inscrições do 2º ciclo	Iscte	
152	Desde quando está automatizada a inscrição no 3º ciclo (doutoramento)?		TRUE	2014	Cronologia	2014090100	Ok	2014-09-01	Inscrições on-line do 3º ciclo	Iscte	
153	Quando se iniciou a desmaterialização das inscrições?		TRUE	2007	Cronologia	2008090100	Duvida	2008-09-01	Desmaterialização das inscrição dos estudantes	Iscte	anos não coincidem mas na entrada: 2007090100 realmente diz que 2007 foi o ano da automatização das inscrições do 1º ciclo
154	Uma das  principais figuras promotoras do programa Erasmus...?		TRUE	Manuel Marín	Cronologia	1987061500	Ok	1987-06-15	Criação do Programa Erasmus (entre os seus promotores europeus está Manuel Marín (1949-2017) 	Internacional	
155	O Iscte e a Southern Medical University (SMU) Guangzhou, China, estabeleceram um acordo bilateral. Em que data se realizou o primeiro doutoramento neste âmbito?		TRUE	2015	Cronologia		Não Colocar	#N/A	#N/A	#N/A	cursos diferentes
156	O Iscte e a  University of Electronic Sciences and Technology of China (UESTC), Chengdu, China, estabeleceram um acordo bilateral. Em que data se realizou o primeiro doutoramento neste âmbito?		TRUE	2013	Cronologia	2013110400	Ok	2013-11-04	Primeiro doutoramento em Gestão Empresarial Aplicada, no âmbito do acordo com a University of Electronic Sciences and Technology of China, Chengdu, China, Shen Jun	Iscte	
157	Quando se estabelece a cooperação bilateral com a Universidade de Ciências e Tecnologia de Macau?		TRUE	2007	Cronologia	2007080100	Ok	2007-08-01	Protocolo com a Universidade de Ciências e Tecnologia de Macau	Iscte	
158	O que é o CIES?		TRUE	Centro de Investigação e Estudos de Sociologia, C.R.L. (CIES)	Cronologia	1985061900	Ok	1985-06-19	Criação do Centro de Investigação e Estudos de Sociologia (CIES)	Iscte	
159	O que é o DINAMIA?		TRUE	Centro de Estudos sobre Mudanças Socioeconomicas (DINAMIA)	Cronologia	1989041100	Ok	1989-04-11	Criação do Centro de Estudos sobre a Mudança Socioeconómica (DINAMIA)	Iscte	
160	O que é o CIS?		TRUE	Centro de Investigação e de Intervenção Social (CIS)	Cronologia	1991121600	Para alterar	1991-12-16	Criação do Centro de Investigação e de Intervenção Social (CIIS)	cis	resposta tem "cis" mas cronologia tem "cis"
161	Quando se generalizou o uso da Internet na comunidade do Iscte?		TRUE	1992	Cronologia	1992123100	Ok	1992-12-31	Acesso à Internet neste ano	Iscte	
162	O que é o CRIA?		TRUE	Centro de Informações e Comunicação Social	Cronologia		Não Colocar	#N/A	#N/A	#N/A	
163	O que é a AEISCTE?		TRUE	Associação de Estudantes (atual AEISCTE-IUL)	Cronologia	1975063000	Ok	1975-06-30	Criação da Associação de Estudantes do ISCTE (AEISCTE) neste semestre	Iscte	
164	A Associação de Estudantes do Iscte formalizou-se no ano...		TRUE	1988	Cronologia	1975063000	Para alterar	1975-06-30	Criação da Associação de Estudantes do ISCTE (AEISCTE) neste semestre	Iscte	anos não coincidem
165	O que era o CIISCTE?		TRUE	Centro de informática (CIISCTE)	Cronologia	2002051700	Ok	2002-05-17	Formalização do Centro de informática (CIISCTE)	Iscte	
166	As normas ISO (International Organization for Standardization) certificam os sistemas de gestão da qualidade. Quando foi atribuído ao Iscte o ISO 9001:2008?		FALSE	2008	Cronologia		Não Colocar	#N/A	#N/A	#N/A	As normas ISO 9001:2008, da International Organization for Standardization, permitem a certificação de sistemas de gestão da qualidade. Quando foi atribuída ao Iscte essa certificação?
167	Devido ao confinamento em que altura se iniciou o ensino não presencial e o teletrabalho no ISCTE?		TRUE	Março 2020	Cronologia	2020031200	Ok	2020-03-12	Devido ao confinamento inicia-se o ensino não presencial e o teletrabalho	Iscte	
168	A editora Mundos Sociais é propriedade do CIES. Em que ano foi fundada?		TRUE	2010	Cronologia	2010123100	Ok	2010-12-31	Criação da Editora Mundos Sociais neste ano	Iscte	
169	Quando se realizou a homenagem parlamentar ao professor João Ferreira de Almeida?		TRUE	2022	Cronologia	2022070800	Ok	2022-07-08	Homenagem parlamentar ao professor João Ferreira de Almeida (1941-2022)	Nacional	
170	A que se refere esta imagem?	https://www.flickr.com/photos/iscteiul/52015366319/in/album-72177720298221622/	TRUE	Tomada de posse do Conselho Científico (2019)	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
171	No ano 2016, qual foi o valor homologado do orçamento do Iscte?		TRUE	38,5 M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
172	No ano 2017, qual foi o valor homologado do orçamento do Iscte?		TRUE	42M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
173	No ano 2018, qual foi o valor homologado  do orçamento do Iscte?		TRUE	42 M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
174	No ano 2019, qual foi o valor homologado do orçamento do Iscte?		TRUE	45 M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
175	No ano 2020, qual foi o valor homologado do orçamento do Iscte?		TRUE	49 M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
176	No ano 2021, qual foi o valor homologado do orçamento do Iscte?		TRUE	44 M€	Dimensões		Não Colocar	#N/A	#N/A	#N/A	
177	A se refere esta imagem?	https://www.flickr.com/photos/iscteiul/51944521770/in/album-72177720297419006/	TRUE	Às Instalações do Iscte: Campo Grande 185.	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
178	Eleito presidente do Conselho Científico em 1982. Quem foi?	https://www.flickr.com/photos/iscteiul/51971035236/in/album-72177720297729830/	TRUE	Mário Murteira	Quotidiano	1983063001	Duvida	1983-06-30	Mário Murteira é Presidente do Conselho Científico (eleito)	Iscte	anos não coincidem
179	Eleito presidente do Conselho Diretivo em 1984. Quem foi?	https://www.flickr.com/photos/iscteiul/51971599230/in/album-72177720297729830/	TRUE	José Manuel Prostes de Fonseca	Quotidiano	1984073000	Ok	1984-07-30	José Manuel Prostes da Fonseca é presidente do Conselho Diretivo (eleito)	Iscte	
180	A que se refere esta imagem?	https://www.flickr.com/photos/iscteiul/51970031767/in/album-72177720297729830/	TRUE	Constituição da Associação de Estudantes (atual AEISCTE-IUL)	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
181	A que se refere esta imagem?	https://www.flickr.com/photos/iscteiul/51971324069/in/album-72177720297729830/	TRUE	Criação da Tuna Académica	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
182	A que se refere esta imagem?	https://www.flickr.com/photos/iscteiul/52015366049/in/album-72177720298221622/	TRUE	Testes COVID em parceria com a Cruz Vermelha Portuguesa	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
183	A inauguração deste edifício permitiu melhores condições de funcionamento. Qual é a área deste edifício?	https://www.flickr.com/photos/iscteiul/52013234411/in/album-72177720298200772/	TRUE	30.153 m2	Dimensões		Ok	#N/A	#N/A	#N/A	
184	Para que serve este espaço?	https://www.flickr.com/photos/iscteiul/52013293113/in/album-72177720298200772/	TRUE	Pavilhão-esplanada (119 m2)	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
185	Quando foi inaugurado este edifício?	https://www.flickr.com/photos/iscteiul/52013293143/in/album-72177720298200772/	TRUE	1995	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
186	Identifique um dos autores nesta revista.	https://www.flickr.com/photos/iscteiul/52013481989/in/album-72177720298200772/	TRUE	Immanuel Wallerstein	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
187	Antes da disponibilização do catálogo da biblioteca em linha, as buscas bibliográficas faziam-se num catálogo manual. Localize o que se vê na imagem.	https://www.flickr.com/photos/iscteiul/52013482289/in/album-72177720298200772/	TRUE	AA4.07	Georeferenciação		Ok	#N/A	#N/A	#N/A	
188	Identifique esta cerimónia?		TRUE	Honoris Causa atribuído a Immanuel Wallerstein ✝︎	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
189	Identifique o artigo de Isabel Duarte e Maria José Maranhão	https://www.flickr.com/photos/iscteiul/52013482439/in/album-72177720298200772/	TRUE	Necessidades e expetactivas de inquilinos e arrendatários	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
190	A que se refere esta imagem?		TRUE	Criação do grupo de teatro mISCuTEm	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
191	A que se refere esta imagem?	https://flic.kr/p/2nfqpFZ	TRUE	Assembleia estatutária, preparação para o regime fundacional, com a presença do ministro Mariano Gago	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
192	O que se passou nesta ocasião?	https://flic.kr/p/2nfp42D	TRUE	Evacuação das instalações após alarme por libertação de gás nas imediações	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
193	A que se refere esta imagem?	https://flic.kr/p/2nfqpAi	TRUE	Carlos Lopes eleito presidente do Conselho Geral	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
194	Quem é esta professora?	https://flic.kr/p/2nfp3V6	TRUE	A provedora Isabel Nicolau	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
195	Quem foi eleito reitor?	https://flic.kr/p/2nfqpDp	TRUE	Luís Antero Reto	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
196	Quantas escolas são criadas?		TRUE	4	Dimensões		Ok	#N/A	#N/A	#N/A	
197	De que evento se trata?		TRUE	Prémio L'Oreal Brandstorm para os alunos de Marketing	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
198	Quem é esta professora?	https://flic.kr/p/2nfqpzG	TRUE	Maria Luísa Pedroso de Lima	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
199	Quem foi este professor?	https://flic.kr/p/2nfqpzm	TRUE	Juan Mozzicafreddo ✝︎	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
200	Quem é este professor?	https://flic.kr/p/2nfqpyQ	TRUE	Francisco Cercas	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
201	Identifique este professor	https://flic.kr/p/2nfp3WJ	TRUE	André Jordan	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
202	Identifique este professor	https://flic.kr/p/2nfo1LC	TRUE	José Veiga Simão ✝︎	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
203	A que evento se refere esta imagem?	https://flic.kr/p/2nfp4Hk	TRUE	Filipe Reis eleito diretor da ECSH	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
204	A que se refere esta imagem?	https://flic.kr/p/2nfp4L1	TRUE	Clara Carvalho primeira diretora do recém criado Centro de Estudos Internacionais (CEI_ISCTE)	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
205	A que se refere esta imagem?	https://flic.kr/p/2nfiN4W	TRUE	Ricardo Fonseca eleito diretor da Escola de tecnologias e arquitetura (ISTA)	AutoExplicativa		Duvida	#N/A	#N/A	#N/A	imagem ambigua, quem responde ao quiz não saberá a qual dos professores presentes na imagem a pergunta se refere
206	A que se refere esta imagem?	https://flic.kr/p/2nfiN2m	TRUE	José Rebelo eleito presidente do Conselho Cientifico	AutoExplicativa	2013100800	Ok	2013-10-08	José Manuel Rebelo é presidente do Conselho Científico (eleito)	Iscte	
207	A que se refere esta imagem?	https://flic.kr/p/2nfpj9r	TRUE	Luís Antero Reto eleito reitor	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
208	A que se refere esta imagem?	https://flic.kr/p/2nfrH7t	TRUE	ISTAR-ISCTE	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
209	A que se refere esta imagem?	https://flic.kr/p/2nfqkYT	TRUE	IULCOME: receção aos novos estudantes	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
210	A que se refere esta imagem?	https://flic.kr/p/2nfp4Ku	TRUE	Francisco Cercas eleito presidente do Conselho Cientifico	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
211	Identifique este professor		TRUE	Jorge Freitas Branco	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
212	A que se refere esta imagem?	https://flic.kr/p/2nfpiMp	TRUE	Criação do Coro ISCTE. Maestro Pedro Miguel	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
213	A que se refere esta imagem?	https://flic.kr/p/2nfp4Jh	TRUE	Carlos Santos Ferreira eleito presidente do Conselho de Curadores	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
214	Onde está este mural?	https://flic.kr/p/2nfiN4q	TRUE	Edifício 2, Piso 1	Georeferenciação		Ok	#N/A	#N/A	#N/A	
215	De que evento se trata?	https://flic.kr/p/2nfiN5x	TRUE	Homenagem ao general A. Ramalho Eanes no 7º aniversário do regime fundacional	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
216	A que se refere esta imagem?	https://flic.kr/p/2nfrH42	TRUE	Fernando Batista presidente do Conselho Pedagógico	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
217	A que evento se refere esta imagem?	https://flic.kr/p/2nfp4FS	TRUE	Maria de Lurdes Rodrigues eleita primeira reitora	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
218	Identifique este professor		TRUE	Carlos Sá da Costa	AutoExplicativa		Falta imagem	#N/A	#N/A	#N/A	
219	A que é que se refere esta imagem?	https://flic.kr/p/2nfqmdF	TRUE	Tomada de posse do Conselho Científico do ISCTE-IUL	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
220	A que se refere esta imagem?	https://flic.kr/p/2nfpj2h	TRUE	Tomada de posse do Conselho Pedagógico do ISCTE- IUL	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
221	A que se refere esta imagem?	https://flic.kr/p/2nfp4zQ	TRUE	Júlio Pedrosa reeleito presidente do Conselho Geral	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
222	De que evento se tratou?	https://flic.kr/p/2nfpiTM	TRUE	Plantação de Árvore da Vida (Thujia occidentalis) comemorativos do Cinquentenário	AutoExplicativa		Ok	#N/A	#N/A	#N/A	
223	No ano 2015, qual foi o valor aprovado do orçamento do Iscte?		TRUE	40 M€	Dimensões		Duvida	#N/A	#N/A	#N/A	
